"leaf.type","tree","geno","shoot","leaf","pb.upper","pb.lower","pb.hole","pb.woody","pb.woody.pred","pb.abort","pb.pred","chew.edge","chew.holes","scrape","fish.eye","tip.miner","edge.miner","mid.miner","fungal","chomp","pinch","thrips","edge.fold","tier","mite"
"live","np2.4",1023,1,1,,,,,,,,,,,,,,,1,,,,,,
"live","np2.4",1023,1,2,,,,,,,,,,,,,,,,,,,,,
"live","np2.4",1023,1,3,,,,,,,,1,,,,,,,,,,,,,
"live","np2.4",1023,1,4,,,,,,,,,,,,,,,,,,,,,
"live","np2.4",1023,1,5,,,,,,,,,,,,,,,,,,,,,
"live","np2.4",1023,2,1,,,,,,,,,,1,,,,,,,,,,,
"live","np2.4",1023,2,2,,,,,,,,,,1,,,,,,,,,,,
"live","np2.4",1023,2,3,,,,,,,,,,1,,,,,1,1,,,,,
"live","np2.4",1023,2,4,,,,,,,,,,1,,,,,1,,,,,,
"live","np2.4",1023,2,5,,,,,,,,1,,1,,,,,,,,,,,
"live","np2.4",1023,3,1,,,,,,,,,,1,,,,,,1,,,,,
"live","np2.4",1023,3,2,,,,,,,,1,,1,,,,,,,,,,,
"live","np2.4",1023,3,3,,,,,,,,,,,,,,,,,,,,,
"live","np2.4",1023,3,4,,,,,,,,,,,,,,,,,,,,,
"live","np2.4",1023,3,5,,,1,,,,,,,,,,,,1,,,,,,
"live","np2.4",1023,4,1,,,,,,,,1,,,,,,,,,,,,,
"live","np2.4",1023,4,2,,,,,,,,1,1,,,,,,,,,,,,
"live","np2.4",1023,4,3,,,,,,,,1,,1,,,,,,,,,,,
"live","np2.4",1023,4,4,1,,,,,,,,,,,,,,,1,,,,,
"live","np2.4",1023,4,5,,,,,,,,,,,,,,,,,,,,,
"live","np2.4",1023,5,1,,,,,,,,,,1,,,,,1,,,,,,
"live","np2.4",1023,5,2,,,,,,,,1,,1,,,,,,,,,,,
"live","np2.4",1023,5,3,,,,,,,1,,,,,,,,1,1,,,,,
"live","np2.4",1023,5,4,,,,,,,,,,1,,,,,,,,,,,
"live","np2.4",1023,5,5,,,,,,,,,,1,,,,,,,,,,,
"live","np2.4",1023,6,1,,,,,,,,,,,,,,,,,,,,,
"live","np2.4",1023,6,2,,,,,,,,,,,,,,,1,,,,,,
"live","np2.4",1023,6,3,,,,,,,,1,,,,,,,,,,,,,
"live","np2.4",1023,6,4,,,,,,,,,,,,,,,,,,,,,
"live","np2.4",1023,6,5,,,,,,,,1,,,,,,,,,,,,,
"live","np2.4",1023,7,1,,,,,,,,1,,,,,,,,,,,,,
"live","np2.4",1023,7,2,,,,,,,,1,,,,,,,,,,,,,
"live","np2.4",1023,7,3,,,,,,,,1,,1,,,,,,,,,,,
"live","np2.4",1023,7,4,1,,,,,,,1,,,,,,,,,,,,,
"live","np2.4",1023,7,5,,,,,,,,1,,,,,,,,,,,,,
"live","np2.4",1023,8,1,,,,,,,,1,,,,,,,,,,,,,
"live","np2.4",1023,8,2,,,,,,,,,,,,,,,,,,,,,
"live","np2.4",1023,8,3,,,,,,,,1,,,,,,,,,,,,,
"live","np2.4",1023,8,4,,,1,,,,,,,1,,,,,,,,,,,
"live","np2.4",1023,8,5,,,,,,,,1,,,,,,,,,,,,,
"live","np2.4",1023,9,1,,,,,,,,,,,,,,,1,,,,,,
"live","np2.4",1023,9,2,,,,,,,,,,,,,,,,,,,,,
"live","np2.4",1023,9,3,,,,,,,,,,,,,,,,1,,,,,
"live","np2.4",1023,9,4,,,,,,,,1,,,,,,,,,,1,,,
"live","np2.4",1023,9,5,,,,,,,,1,,1,,,,,,,,,,,
"live","np2.4",1023,10,1,,,,,,,,1,,,,,,,,,,,,,
"live","np2.4",1023,10,2,,,,,,,,1,,,,,,,,,,,,,
"live","np2.4",1023,10,3,,,,,,,,1,,,,,,,,,,,,,
"live","np2.4",1023,10,4,,,,,,,,,,,,,,,,,,,,,
"live","np2.4",1023,10,5,,,,,,,,,,,,,,,,,,,,,
"live","np5.25",996,1,1,,,,,,,,,,1,,,,,,,,,,,
"live","np5.25",996,1,2,,,,,,,,,,,,,,,,,,,,,
"live","np5.25",996,1,3,,,,,,,,,,,,,,,1,,,,,,
"live","np5.25",996,1,4,,,,,,,,,,1,,,,,1,,,,,,
"live","np5.25",996,1,5,,,1,,,,,,,1,,,,,,,,,,,
"live","np5.25",996,2,1,,,,,,,,,,,,,,,,,,,,,
"live","np5.25",996,2,2,,,,,,,,,,1,,,,,,,,,,,
"live","np5.25",996,2,3,,,,,,,,,,,,,,,,,,,,,
"live","np5.25",996,2,4,,,,,,,,,,,,,,,,,,,,,
"live","np5.25",996,2,5,,,,,,,,,,,,,,,,1,,,,,
"live","np5.25",996,3,1,,,,,,,,,,1,,,,,,,,,,,
"live","np5.25",996,3,2,,,,,,,,,,1,,,,,,,,,,,
"live","np5.25",996,3,3,,,,,,,,,,1,,,,,,,,,,,
"live","np5.25",996,3,4,,,,,,,,,,1,,,,,,,,,,,
"live","np5.25",996,3,5,,,1,,,,,,,,,,,,1,,,,,,
"live","np5.25",996,4,1,,,,,,,,,,,,,,,,1,,,,,
"live","np5.25",996,4,2,,,,,,,,1,,,,,,,,1,,,,,
"live","np5.25",996,4,3,,,,,,,,,,,,,,,,,,1,,,
"live","np5.25",996,4,4,,,,,,,,,,,,,,,,1,,,,,
"live","np5.25",996,4,5,,,,,,,,,1,,,,,,,,,,,,
"live","np5.25",996,5,1,,,,,,,,1,,,,,,,,,,,,,
"live","np5.25",996,5,2,,,,,,,,1,,,,,,,1,,,,,,
"live","np5.25",996,5,3,,,,,,,,,,,,,,,1,,,,,,
"live","np5.25",996,5,4,,,,,,,,,,,,,,,,,,,,,
"live","np5.25",996,5,5,,,,,,,,,,,,,,,,,,,,,
"live","np5.25",996,6,1,,,,,,,,1,,1,,,,,,,,,,,
"live","np5.25",996,6,2,,,,,,,,,,,,,,,1,,,,,,
"live","np5.25",996,6,3,,,,,,,,,,,,,,,,1,,,,,
"live","np5.25",996,6,4,,,,,,,,,,1,,,,,,,,,,,
"live","np5.25",996,6,5,,,,,,,,,,1,,,,,,,,,,,
"live","np5.25",996,7,1,,,,,,,,,,,,,,,,,,,,,
"live","np5.25",996,7,2,,,,,,,,,,1,,,,,,,,,,,
"live","np5.25",996,7,3,,,,,,,,,,,,,,,,,,,,,
"live","np5.25",996,7,4,1,,,,,,,,,,,,,,1,,,,,,
"live","np5.25",996,7,5,1,,,,,,,1,,,,,,,,,,,,,
"live","np5.25",996,8,1,,,,,,,,,,1,,,,,,,,,,,
"live","np5.25",996,8,2,,,,,,,,,,,,,,,,1,,,,,
"live","np5.25",996,8,3,,,,,,,,1,,,,,,,,,,,,,
"live","np5.25",996,8,4,,,,,,,,,,1,,,,,,,,,,,
"live","np5.25",996,8,5,,,,,,,,,,1,,,,,,,,,,,
"live","np5.25",996,9,1,,,,,,,,1,,1,,,,,,,,,,,
"live","np5.25",996,9,2,,,,,,,,,,1,,,,,,,,,,,
"live","np5.25",996,9,3,1,,,,,,,,,,,,,,1,,,,,,
"live","np5.25",996,9,4,,,,,,,,,,,,,,,1,,,,,,
"live","np5.25",996,9,5,,,,,,,,1,,,,,,,1,,,,,,
"live","np5.25",996,10,1,,,,,,,,,,1,,,,,1,1,,,,,
"live","np5.25",996,10,2,,,,,,,,,,,,,,,1,,,,,,
"live","np5.25",996,10,3,,,,,,,,,,,,,,,1,,,,,,
"live","np5.25",996,10,4,,,,,,,,,,,,,,,1,,,,,,
"live","np5.25",996,10,5,,,,,,,,,,,,,,1,,1,,,,,
"live","np2.13",1007,1,1,,,,,,,,,1,1,,,,,,,,,,,
"live","np2.13",1007,1,2,,,,,,,,1,,,,,,,,,,,,,
"live","np2.13",1007,1,3,,,,,,,,1,1,,,,,,,,,,,,
"live","np2.13",1007,1,4,,,,,,,,,1,,,,,,,,,,,,
"live","np2.13",1007,1,5,,,,,,,,,1,,,,,,1,,,,,,
"live","np2.13",1007,2,1,,,,,,,,,,,,,,,,1,,,,,
"live","np2.13",1007,2,2,,,,,,,,,1,,,,,,,1,,,,,
"live","np2.13",1007,2,3,,,,,,,,,,,,,,,,1,,,,,
"live","np2.13",1007,2,4,,,,,,,,,,,,,,,,1,,,,,
"live","np2.13",1007,2,5,,,,,,,,,,,,,,,,1,,,,,
"live","np2.13",1007,3,1,,,,,,,,,,,,,,,,,,1,,,
"live","np2.13",1007,3,2,,,,,,,,,,,,,,,1,,,,,,
"live","np2.13",1007,3,3,,,,,,,,,,,,,,,1,,,,,,
"live","np2.13",1007,3,4,,,,,,,,,1,,,,,,,,,,,,
"live","np2.13",1007,3,5,1,,,,,,,,,,,,,,1,,,,,,
"live","np2.13",1007,4,1,,,,,,,,,,,,,,,1,,,,,,
"live","np2.13",1007,4,2,,,,,,,,,,,,,,,1,,,,,,
"live","np2.13",1007,4,3,,,,,,,,,,1,,,,,,,,,,,
"live","np2.13",1007,4,4,,,,,,,,,,,,,,,1,,,,,,
"live","np2.13",1007,4,5,,,,,,,,,,,,,,,1,,,1,,,
"live","np2.13",1007,5,1,,,1,,,,,,,1,,,,,,,,1,,,
"live","np2.13",1007,5,2,,,,,,,,,,1,,,,,,,,,,,
"live","np2.13",1007,5,3,,,,,,,,,,1,,,,,,,,1,,,
"live","np2.13",1007,5,4,,,1,,,,,,,1,,,,,,,,1,,,
"live","np2.13",1007,5,5,,,1,,,,,,,1,,,,,1,,,,,,
"live","np2.13",1007,6,1,,,,,,,,1,,,,,,,,,,1,,,
"live","np2.13",1007,6,2,,,,,,,,,,,,,,,,,,,,,
"live","np2.13",1007,6,3,,,,,,,,,,1,,,,,,,,1,,,
"live","np2.13",1007,6,4,,,,,,,,,,,,,,,,,,,,,
"live","np2.13",1007,6,5,,,,,,,,,,,,,,,,,,,,,
"live","np2.13",1007,7,1,,,,,,,,,,1,,,,,,,,,,,
"live","np2.13",1007,7,2,,,,,,,,,,,,,,,1,,,,,,
"live","np2.13",1007,7,3,,,,,,,,,,1,,,,,,,,,,,
"live","np2.13",1007,7,4,,,,,,,,,,,,,,,,,,,,,
"live","np2.13",1007,7,5,,,,,,,,,,1,,,,,,,,,,,
"live","np2.13",1007,8,1,,,,,,,,,,,,,,,,,,1,,,
"live","np2.13",1007,8,2,,,,,,,,,,,,,,,,,,,,,
"live","np2.13",1007,8,3,1,,,,,,,,,,,,,,1,,,,,,
"live","np2.13",1007,8,4,,,,,,,,,,,,,,,,,,,,,
"live","np2.13",1007,8,5,,,,,,,,,,1,,,,,,,,,,,
"live","np2.13",1007,9,1,,,,,,,,,,,,,,,,,,,,,
"live","np2.13",1007,9,2,,,,,,,,,,,,,,,,,,,,,
"live","np2.13",1007,9,3,,,,,,,,,,,,,,,,,,,,,
"live","np2.13",1007,9,4,,,,,,,,,,,,,,,,,,,,,
"live","np2.13",1007,9,5,1,,,,,,,,,,,,,,1,,,,,,
"live","np2.13",1007,10,1,,,,,,,,,,,,,,,,1,,,,,
"live","np2.13",1007,10,2,,,,,,,,,,,,,,,,,,,,,
"live","np2.13",1007,10,3,,,,,,,,,,,,,,,,,,,,,
"live","np2.13",1007,10,4,,,,,,,,,,,,,,,,1,,,,,
"live","np2.13",1007,10,5,,,,,,,,,,,,,,,1,,,,,,
"live","np2.21",1000,1,1,,,,,,,,,1,,,,,,,,,,,,
"live","np2.21",1000,1,2,,,,,,,,,,,,,,,,,,,,,
"live","np2.21",1000,1,3,,,,,,,,,1,,,,,,1,,,,,,
"live","np2.21",1000,1,4,1,,,,,,,1,,,,,,,1,,,,,,
"live","np2.21",1000,1,5,,,,,,,,1,,,,,,,,,,,,,
"live","np2.21",1000,2,1,,,,,,,,,,,,,,,,,,1,,,
"live","np2.21",1000,2,2,,,,,,,,,,,,,,,1,,,,,,
"live","np2.21",1000,2,3,,,,,,,,,,1,,,,,,,1,,,,
"live","np2.21",1000,2,4,,,,,,,,,,,,,,,,,,,,,
"live","np2.21",1000,2,5,,,,,,,,,,,,,,,,,,,,,
"live","np2.21",1000,3,1,,,,,,,,,,,,,,,,,,,,,
"live","np2.21",1000,3,2,,,,,,,,,,,,,,,,,,,,,
"live","np2.21",1000,3,3,,,,,,,,,,,,,,,,,,,,,
"live","np2.21",1000,3,4,1,,,,,,,,,,,,,,,,,,,,
"live","np2.21",1000,3,5,,,,,,,,,,,,,,,,,,,,,
"live","np2.21",1000,4,1,,,,,,,,,,1,,,,,,,,,,,
"live","np2.21",1000,4,2,,,,,,,,,,1,,,,,,,,,,,
"live","np2.21",1000,4,3,,,,,,,,,,,,,,,,,,,,,
"live","np2.21",1000,4,4,,,,,,,,,,,,,,,,,,,,,
"live","np2.21",1000,4,5,,,,,,,,,,1,,,,,,,,,,,
"live","np2.21",1000,5,1,,,,,,,,,,,,,,,,1,,,,,
"live","np2.21",1000,5,2,,,,,,,,,,,,,,,,,,,,,
"live","np2.21",1000,5,3,,,,,,,,,,1,,,,,,,,,,,
"live","np2.21",1000,5,4,,,,,,,,,,,,,,,1,,,,,,
"live","np2.21",1000,5,5,,,,,,,,,,,,,,,1,,,,,,
"live","np2.21",1000,6,1,,,,,,,,,,,,1,,,,,,,,,
"live","np2.21",1000,6,2,,,,,,,,,,,,,,,1,,,,,,
"live","np2.21",1000,6,3,,,,,,,,,,,,,,,,,,,,,
"live","np2.21",1000,6,4,,,,,,,,,,,,,1,,,,,,,,
"live","np2.21",1000,6,5,,,,,,,,,,,,,,,,,,,,,
"live","np2.21",1000,7,1,,,,,,,,,,,,,,,1,,,,,,
"live","np2.21",1000,7,2,,,,,,,,,,,,,,,,1,,,,,
"live","np2.21",1000,7,3,,,,,,,,,,,,,,,,1,,,,,
"live","np2.21",1000,7,4,,,,,,,,,,,,,,,,1,,,,,
"live","np2.21",1000,7,5,1,,,,,,,,,1,,,,,,,1,,,,
"live","np2.21",1000,8,1,,,,,,,,,,,,,,,1,,,,,,
"live","np2.21",1000,8,2,,,,,,,,1,,,,,,,1,,,,,,
"live","np2.21",1000,8,3,,,,,,,,1,,1,,,,,,,,,,,
"live","np2.21",1000,8,4,,,,,,,,,,1,,,,,,,,,,,
"live","np2.21",1000,8,5,,,,,,,,,,,,,,,,,,,,,
"live","np2.21",1000,9,1,,,,,,,,,,,,,,,,,,,,,
"live","np2.21",1000,9,2,,,,,,,,,,,,,,,,,,,,,
"live","np2.21",1000,9,3,,,,,,,,,,,,,,,,,,,,,
"live","np2.21",1000,9,4,,,,,,,,,,,,,,,,1,,,,,
"live","np2.21",1000,9,5,,,,,,,,,,,,,,,,,,,,,
"live","np2.21",1000,10,1,,,,,,,,,,,,,,,,,,,,,
"live","np2.21",1000,10,2,,,,,,,,,,,,,,,,1,,,,,
"live","np2.21",1000,10,3,,,,,,,,1,,,,,,,,,,,,,
"live","np2.21",1000,10,4,,,,,,,,,,,,,,,1,,,,,,
"live","np2.21",1000,10,5,,,,,,,,,,,,,,,,,,,,,
"live","np4.36",11,1,1,,,,,,,,1,,,,,,,1,,,,,,
"live","np4.36",11,1,2,,,,,,,,,,,,,,,1,,,,,,
"live","np4.36",11,1,3,,,,,,,,,1,,,,,,1,,,,,,
"live","np4.36",11,1,4,,,,,,,,,1,,,,,,1,,,,,,
"live","np4.36",11,1,5,2,,,,,,,,1,,,,,,,,,,,,
"live","np4.36",11,2,1,,,,,,,,,1,,,,,,,,,,,,
"live","np4.36",11,2,2,,,,,,,,,,,,,,,,,,,,,
"live","np4.36",11,2,3,,,,,,,,1,,,,,,,,,,,,,
"live","np4.36",11,2,4,,,,,,1,,,,,,,,,1,,,,,,
"live","np4.36",11,2,5,,,,,,,,,,,,,,,,,,,,,
"live","np4.36",11,3,1,,,,,,,,,1,,,,,,1,,,,,,
"live","np4.36",11,3,2,1,,1,,,,,,,,,,,,,,,,,,
"live","np4.36",11,3,3,1,,,,,,,,1,,,,1,,1,,,,,,
"live","np4.36",11,3,4,,,,,,,,,,,,,,,,1,,,,,
"live","np4.36",11,3,5,,,,,,,,,,,,,,,,1,,,,,
"live","np4.36",11,4,1,,,,,,,,1,,,,,,,,,,,,,
"live","np4.36",11,4,2,,,,,,,,1,,,,,,,1,,,,,,
"live","np4.36",11,4,3,,,,,,,,1,,,,,,,,,1,,,,
"live","np4.36",11,4,4,,,,,,,,1,,,,,,1,1,,,,,,
"live","np4.36",11,4,5,,,,,,,,1,,,,,,,,,,,,,
"live","np4.36",11,5,1,,,,,,,,,,,,,,,,,,,,,
"live","np4.36",11,5,2,,,,,,,,,,,,,,,,,,,,,
"live","np4.36",11,5,3,,,,,,,,,,,,,,,,,,,,,
"live","np4.36",11,5,4,,,,,,,,,1,,,,,,1,1,,,,,
"live","np4.36",11,5,5,,,,,,,,1,,,,,,,,,,,,,
"live","np4.36",11,6,1,,,,,,,,,,1,,,,,,,,,,,
"live","np4.36",11,6,2,,,,,,,,1,,,,,,,,,,,,,
"live","np4.36",11,6,3,1,,,,,,,1,,,,,,,1,,,,,,
"live","np4.36",11,6,4,,,,,,,,1,,,,,,,,,,,,,
"live","np4.36",11,6,5,,,,,,,,1,,,,,,,,,,,,,
"live","np4.36",11,7,1,,,,,,,,,,,,,,,1,,,,,,
"live","np4.36",11,7,2,,,,,,,,,,,,,,,,,,,,,
"live","np4.36",11,7,3,,,,,,,,,,1,,,,,,,,,,,
"live","np4.36",11,7,4,,,,,,,,,,,,,,,,,,,,,
"live","np4.36",11,7,5,,,,,,,,,,,,,1,,1,,,,,1,
"live","np4.36",11,8,1,,,,,,,,,,,,,,,,,,,,,
"live","np4.36",11,8,2,,,,,,,,1,,,,,,,1,,,,,,
"live","np4.36",11,8,3,,,,,,,,,,,,,,,,1,,,,,
"live","np4.36",11,8,4,,,,,,,,,,,,,,,1,,,,,,
"live","np4.36",11,8,5,,,,,,,,1,,,,,,,,,,,,,
"live","np4.36",11,9,1,,,,,,,,1,,,,,,,,,,,,,
"live","np4.36",11,9,2,,,,,,,,1,,,,,,,,,,,,,
"live","np4.36",11,9,3,,,,,,,,,,,,,,,,,,,,,
"live","np4.36",11,9,4,,,,,,,,,,1,,,,,,,,,,,
"live","np4.36",11,9,5,1,,,,,,,,,,,,,,1,,,,,,
"live","np4.36",11,10,1,,,,,,,,,,,,,,,,,,,,,
"live","np4.36",11,10,2,,,,,,,,,,1,,,,,1,,,,,,
"live","np4.36",11,10,3,,,,,,,,,,,,,,,1,,,,,,
"live","np4.36",11,10,4,,,,,,1,,,,1,,,,,1,,,,,,
"live","np4.36",11,10,5,,,,,,,,1,,,,,,,,,,,,,
"live","np2.07",1000,1,1,,,,,,,,1,,,,,,,1,,,,,,
"live","np2.07",1000,1,2,,,,,,,,,,,,,,,,,,,,,
"live","np2.07",1000,1,3,,,,,,,,,,,,,,,1,,,,,,
"live","np2.07",1000,1,4,,,,,,,,,,,,,,,1,,,,,,
"live","np2.07",1000,1,5,,,,,,,,,,,,,,,1,,,,,,
"live","np2.07",1000,2,1,,,,,,,,1,,,,,,,1,,,,,,
"live","np2.07",1000,2,2,,,,,,,,1,,,,,,,1,,,,,,
"live","np2.07",1000,2,3,,,,,,,,1,,,,,,,1,,,,,,
"live","np2.07",1000,2,4,,,,,,,,1,,,,,,,1,,,,,,
"live","np2.07",1000,2,5,,,,,,,,1,,,,,,,1,,,,,,
"live","np2.07",1000,3,1,,,,,,,,,1,,,,,,1,,,,,,
"live","np2.07",1000,3,2,,,,,,,,,1,,,,,,1,,,,,,
"live","np2.07",1000,3,3,,,,,,,,,,,,,,,1,,,,,,
"live","np2.07",1000,3,4,,,,,,,,,1,,,,,,1,,,,,,
"live","np2.07",1000,3,5,,,,,,,,1,,,,,,,1,,,,,,
"live","np2.07",1000,4,1,,,,,,,,1,,,,,,,,,,,,,
"live","np2.07",1000,4,2,,,,,,,,1,,,,,,,1,,,,,,
"live","np2.07",1000,4,3,,,,,,,,1,,,,,,,1,,,,,,
"live","np2.07",1000,4,4,,,,,,,,,,,,,,,1,1,,,,,
"live","np2.07",1000,4,5,,,,,,,,1,,,,,,,,,,,,,
"live","np2.07",1000,5,1,,,,,,,,,,,,,,,1,,,,,,
"live","np2.07",1000,5,2,,,,,,,,1,,,,,,,,,,,,,
"live","np2.07",1000,5,3,,,,,,,,1,,,,,,,1,,,,,,
"live","np2.07",1000,5,4,,,,,,,,,,,,,,,,,,,,,
"live","np2.07",1000,5,5,,,,,,,,,,,,,,,1,,,,,,
"live","np2.07",1000,6,1,,,,,,,,1,,,,,,,1,,,,,,
"live","np2.07",1000,6,2,,,,,,,,,,,,,,,1,,,,,,
"live","np2.07",1000,6,3,,,,,,,,,,,,,,,,,,,,,
"live","np2.07",1000,6,4,,,,,,,,,,,,,,,1,,,,,,
"live","np2.07",1000,6,5,,,,,,,,,,,,,,,1,,,,,,
"live","np2.07",1000,7,1,,,,,,,,1,,,,,,,,,,,,,
"live","np2.07",1000,7,2,,,,,,,,,,,,,,,1,1,,,,,
"live","np2.07",1000,7,3,,,,,,,,1,,,,,,,,,,,,,
"live","np2.07",1000,7,4,,,,,,,,,,,,,,,1,,,,,,
"live","np2.07",1000,7,5,,,,,,,,1,,,,,,,1,,,,,,
"live","np2.07",1000,8,1,,,,,,,,1,,,,,,,1,,,,,,
"live","np2.07",1000,8,2,,,,,,,,1,,1,,,,,,,,,,,
"live","np2.07",1000,8,3,,,,,,,,1,,,,,,,,,,,,,
"live","np2.07",1000,8,4,,,,,,,,,,,,,,,1,,,,,,
"live","np2.07",1000,8,5,,,,,,,,,,,,,,,1,,,,,,
"live","np2.07",1000,9,1,,,,,,,,,,,,,,,,,,,,,
"live","np2.07",1000,9,2,,,,,,,,,,,,,,,,,,,,,
"live","np2.07",1000,9,3,,,,,,,,,,,,,,,,,,,,,
"live","np2.07",1000,9,4,,,,,,,,1,,,,,,,1,,,,,,
"live","np2.07",1000,9,5,,,,,,,,1,1,,,,,,,,,,,,
"live","np2.07",1000,10,1,,,,,,,,1,,,,,,,,,,,,,
"live","np2.07",1000,10,2,,,,,,,,1,,,,,,,,,,,,,
"live","np2.07",1000,10,3,,,,,,,,1,,,,,,,,,,,,,
"live","np2.07",1000,10,4,,,,,,,,,,,,,,,1,,,,,,
"live","np2.07",1000,10,5,,,,,,,,,,,,,,,1,,,,,,
"live","np2.31",11,1,1,,,,,,,,,,,,,,,,,,,,,
"live","np2.31",11,1,2,,,,,,,,,,,,,,,,,,,,,
"live","np2.31",11,1,3,,,,,,,,,,,,,,,1,,,,,,
"live","np2.31",11,1,4,,,,,,,,,,,,,,1,,,,,,,
"live","np2.31",11,1,5,,,,,,,,,1,,,,,,,,,,,,
"live","np2.31",11,2,1,,,,,,,,,,1,,,,,,1,,,,,
"live","np2.31",11,2,2,,,,,,,,,,,,,,,,,,,,,
"live","np2.31",11,2,3,,,,,,,,1,,,,,,,,,,,,,
"live","np2.31",11,2,4,,,,,,,,,,,,,,,,,,,,,
"live","np2.31",11,2,5,,,,,,,,1,,,,,,,,1,,,,,
"live","np2.31",11,3,1,,,,,,,,,,1,,,,,,,,,,,
"live","np2.31",11,3,2,,,,,,,,,,,,,,,,,,,,,
"live","np2.31",11,3,3,,,,,,,,,,,,,,,,,,,,,
"live","np2.31",11,3,4,,,,,,,,,,,,,,,1,,,,,,
"live","np2.31",11,3,5,,,,,,,,,,1,,,,,1,,,,,,
"live","np2.31",11,4,1,,,,,,,,,,1,,,,,1,,,,,,
"live","np2.31",11,4,2,,,,,,,,,,,,,,,1,,,,,,
"live","np2.31",11,4,3,,,,,,,,,,1,,,,,1,1,,,,,
"live","np2.31",11,4,4,,,,,,,,,,,,,,,,1,,,,,
"live","np2.31",11,4,5,,,,,,,,,,1,,,,,1,,,,,,
"live","np2.31",11,5,1,,,,,,,,1,,,,,,,,,,,,,
"live","np2.31",11,5,2,,,,,,,,,,,,,,,1,,,,,,
"live","np2.31",11,5,3,,,,,,,,1,,,,,,,,,,,,,
"live","np2.31",11,5,4,,,,,,,,,,,,,,,,,,,,,
"live","np2.31",11,5,5,,,,,,,,,,,,,,,,,,,,,
"live","np2.31",11,6,1,,,,,,,,,,,,,,,,,,,,,
"live","np2.31",11,6,2,,,,,,,,1,,,,,,,1,,,,,,
"live","np2.31",11,6,3,,,,,,,,,,,,,,,,,,,,,
"live","np2.31",11,6,4,,,,,,,,,,,,,,,1,,,,,,
"live","np2.31",11,6,5,,,,,,,,1,,,,,,,1,,,,,,
"live","np2.31",11,7,1,,,,,,,,,,1,,,,,1,,,,,,
"live","np2.31",11,7,2,,,,,,,,,,,,,,,,,,,,,
"live","np2.31",11,7,3,,,,,,,,,,1,,,,,,,,,,,
"live","np2.31",11,7,4,,,,,,,,,,,,,,,1,,,,,,
"live","np2.31",11,7,5,,,,,,,,,,,,,,1,1,1,,,,,
"live","np2.31",11,8,1,,,,,,,,,,,,,,,,,,,,,
"live","np2.31",11,8,2,,,,,,,,,,,,,,,,1,,,,,
"live","np2.31",11,8,3,,,,,,,,,,,,,,,,,,,,,
"live","np2.31",11,8,4,,,,,,,,,,1,,,,,1,,,,,,
"live","np2.31",11,8,5,,,,,,,,1,,,,,,,1,,,,,,
"live","np2.31",11,9,1,,,,,,,,,,,,,,,1,,,,,,
"live","np2.31",11,9,2,,,,,,,,,,,,,,,,,,,,,
"live","np2.31",11,9,3,,,,,,,,,,1,,,,,1,,,,,,
"live","np2.31",11,9,4,,,,,,,,,,1,,,,,1,,,,,,
"live","np2.31",11,9,5,,,,,,,,,,,,,,,1,,,,,,
"live","np2.31",11,10,1,,,,,,,,,,,,,,,1,,,,,,
"live","np2.31",11,10,2,,,,,,,,,,,,,,,1,,,,,,
"live","np2.31",11,10,3,,,,,,,,,,,,,,,,,,,,,
"live","np2.31",11,10,4,,,,,,,,,,,,,,,,,,,,,
"live","np2.31",11,10,5,,,,,,,,,,,,,,,1,,,,,,
"live","np2.34",1000,1,1,,,,,,,,,,1,,,,,,,,,,,
"live","np2.34",1000,1,2,,,,,,,,,,1,,,,,,,,,,,
"live","np2.34",1000,1,3,,,,,,,,,,,,,,,1,,,,,,
"live","np2.34",1000,1,4,,,,,,,,,,,,,,,1,,,,,,
"live","np2.34",1000,1,5,,,,,,,,1,,,,,,,,,,,,,
"live","np2.34",1000,2,1,,,,,,,,,,,,,,,1,,,,,,
"live","np2.34",1000,2,2,,,,,,,,,,,,,,,1,,,1,,,
"live","np2.34",1000,2,3,,,,,,,,,,,,,,,,,,,,,
