"Tree","geno","Quadrat location (cm abvove ground)","Total cover ","Roughness ","X. galericulata","Caloplaca holocarpa","Candelariella subdeflexa","Rhinodina glauca","Lecanora sp.","Phyciella melanchra","Physcia adscendens","Physcia undulata","X. montana","UK Moss #1","Unknown Physcioid","Unknown, totally"
"N3-09","HE-7","South 45-55",,85.00,,,,,,,,,,,,
"N3-09","HE-7","South 80-90",1.00,40.00,1.00,,,,,,,,,,,
"N3-09","HE-7","North 45-55",85.00,75.00,85.00,,2.00,,,,,,,,,
"N3-09","HE-7","North 80-90",80.00,75.00,75.00,2.00,10.00,,,,,2.00,,,,
,,,,,,,,,,,,,,,,
"N3-13",1017,"South 45-55",,30.00,,,,,,,,,,,,
"N3-13",1017,"South 80-90",0.50,45.00,0.50,,,,,,,,,,,
"N3-13",1017,"North 45-55",15.00,70.00,6.00,0.25,,,0.10,,,,,,,
"N3-13",1017,"North 80-90",25.00,70.00,25.00,0.10,1.00,,,,,,,,,
,,,,,,,,,,,,,,,,
"N3-17",1008,"South 45-55",0.25,50.00,0.25,,,,,,,,,,,
"N3-17",1008,"South 80-90",0.25,20.00,0.25,,,,,,,,,,,
"N3-17",1008,"North 45-55",3.00,15.00,2.00,0.50,,,0.10,,,,,,,
"N3-17",1008,"North 80-90",0.10,5.00,0.10,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N3-22",1008,"South 45-55",0.25,25.00,0.25,,,,,,,,,,,
"N3-22",1008,"South 80-90",,15.00,,,,,,,,,,,,
"N3-22",1008,"North 45-55",5.00,20.00,5.00,,,,,,,,,,,
"N3-22",1008,"North 80-90",1.00,15.00,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N3-27",996,"South 45-55",,2.00,,,,,,,,,,,,
"N3-27",996,"South 80-90",0.50,15.00,0.50,,,,,,,,,,,
"N3-27",996,"North 45-55",4.50,20.00,4.50,,,,,,,,,,,
"N3-27",996,"North 80-90",0.10,2.00,0.10,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N3-31",1007,"South 45-55",0.25,10.00,0.25,,,,,,,,,,,
"N3-31",1007,"South 80-90",0.25,15.00,0.25,,,,,,,,,,,
"N3-31",1007,"North 45-55",,25.00,,,,,,,,,,,,
"N3-31",1007,"North 80-90",1.00,20.00,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N3-32",996,"South 45-55",,5.00,,,,,,,,,,,,
"N3-32",996,"South 80-90",0.10,10.00,0.10,,,,,,,,,,,
"N3-32",996,"North 45-55",0.10,5.00,0.10,,,,,,,,,,,
"N3-32",996,"North 80-90",0.10,95.00,,,,,,0.10,,,,,,
,,,,,,,,,,,,,,,,
"N4-02","HE-7","South 45-55",,50.00,,,,,,,,,,,,
"N4-02","HE-7","South 80-90",1.00,50.00,1.00,,,,,,,,,,,
"N4-02","HE-7","North 45-55",9.00,45.00,9.00,,,,0.25,0.10,,,,,,
"N4-02","HE-7","North 80-90",4.00,40.00,4.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N4-04","RM2","South 45-55",0.10,25.00,0.10,,,,,,,,,,,
"N4-04","RM2","South 80-90",1.00,20.00,1.00,,,,,,,,,,,
"N4-04","RM2","North 45-55",11.00,30.00,10.00,0.10,1.00,,,,,,,,,
"N4-04","RM2","North 80-90",15.00,30.00,14.00,0.10,2.00,,,,,,,,,
,,,,,,,,,,,,,,,,
"N4-12","WC5","South 45-55",12.00,20.00,7.00,0.10,7.00,,0.10,1.00,,,,,,
"N4-12","WC5","South 80-90",2.00,10.00,2.00,0.10,0.50,,,,,,,,,
"N4-12","WC5","North 45-55",15.00,65.00,15.00,,0.50,,,,,,,,,
"N4-12","WC5","North 80-90",12.00,30.00,13.00,,0.25,,,,,,,,,
,,,,,,,,,,,,,,,,
"N4-14",1008,"South 45-55",0.25,5.00,0.25,,,,,0.10,,,,,,
"N4-14",1008,"South 80-90",1.50,15.00,1.50,,,,,,,,,,,
"N4-14",1008,"North 45-55",10.00,25.00,7.00,,0.50,,0.10,0.50,,,,,,
"N4-14",1008,"North 80-90",0.50,1.00,0.50,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N4-16","H10","South 45-55",0.25,70.00,0.25,,,,,,,,,,,
"N4-16","H10","South 80-90",2.00,30.00,2.00,,,,,,,,,,,
"N4-16","H10","North 45-55",30.00,65.00,20.00,0.10,,,,1.00,0.25,,,0.10,,
"N4-16","H10","North 80-90",35.00,65.00,35.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N4-17","T15","South 45-55",0.50,5.00,0.50,,,,,,,,,,,
"N4-17","T15","South 80-90",2.00,30.00,2.00,,,,,,,,,,,
"N4-17","T15","North 45-55",2.50,10.00,2.50,,,,,,,,,,,
"N4-17","T15","North 80-90",8.00,5.00,10.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N4-18",1007,"South 45-55",2.00,20.00,2.00,,,,,,,,,,,
"N4-18",1007,"South 80-90",,30.00,,,,,,,,,,,,
"N4-18",1007,"North 45-55",3.00,15.00,3.00,,0.10,,,,,,,,,
"N4-18",1007,"North 80-90",,15.00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N4-20",1023,"South 45-55",25.00,35.00,30.00,0.50,3.00,,,,,1.00,,,,
"N4-20",1023,"South 80-90",1.00,10.00,1.00,,,,,,,,,,,
"N4-20",1023,"North 45-55",25.00,30.00,28.00,0.10,6.00,,0.10,0.50,0.25,,,,,
"N4-20",1023,"North 80-90",40.00,25.00,25.00,0.10,8.00,0.10,0.10,0.50,0.50,,".",0.25,,
,,,,,,,,,,,,,,,,
"N4-24",10,"South 45-55",9.00,25.00,9.00,,,,,,,,,,,
"N4-24",10,"South 80-90",4.00,35.00,4.00,,,,,,,,,,,
"N4-24",10,"North 45-55",4.00,20.00,4.00,,,,,,,,,,,
"N4-24",10,"North 80-90",1.50,20.00,1.50,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N4-26",999,"South 45-55",,60.00,,,,,,,,,,,,
"N4-26",999,"South 80-90",1.00,40.00,1.00,,,,,,,,,,,
"N4-26",999,"North 45-55",10.00,20.00,10.00,,2.00,,,0.10,,,,,,
"N4-26",999,"North 80-90",7.00,20.00,7.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N4-30",11,"South 45-55",0.10,60.00,0.10,,,,,,,,,,,
"N4-30",11,"South 80-90",0.25,75.00,0.25,,,,,,,,,,,
"N4-30",11,"North 45-55",4.00,30.00,4.00,,,,,0.10,,,,,,
"N4-30",11,"North 80-90",20.00,40.00,18.00,,1.50,,,0.10,,,,,,
,,,,,,,,,,,,,,,,
"N5-02",1008,"South 45-55",1.00,15.00,1.00,,0.10,,,,,,,,,
"N5-02",1008,"South 80-90",2.00,15.00,2.00,,,,,,,,,,,
"N5-02",1008,"North 45-55",20.00,30.00,20.00,0.10,10.00,0.10,2.00,,,0.25,,,,
"N5-02",1008,"North 80-90",20.00,15.00,18.00,0.25,5.00,0.25,0.25,,,,,,,
,,,,,,,,,,,,,,,,
"N5-05",1005,"South 45-55",1.50,35.00,1.50,,,,,,,,,,,
"N5-05",1005,"South 80-90",0.50,25.00,0.50,,,,,,,,,,,
"N5-05",1005,"North 45-55",2.00,20.00,3.00,0.10,0.25,,0.10,,,0.25,,,,
"N5-05",1005,"North 80-90",15.00,30.00,15.00,0.50,0.10,,,,,0.50,,,,
,,,,,,,,,,,,,,,,
"N5-12",1005,"South 45-55",5.00,50.00,5.00,,,,,,,,,,,
"N5-12",1005,"South 80-90",1.00,50.00,1.00,,,,,,,,,,,
"N5-12",1005,"North 45-55",50.00,25.00,30.00,0.50,4.00,,,1.25,2.00,,0.50,,,
"N5-12",1005,"North 80-90",35.00,20.00,18.00,0.25,2.00,,,0.25,0.25,,,,,
,,,,,,,,,,,,,,,,
"N5-13",1005,"South 45-55",0.25,45.00,0.25,,,,,,,,,,,
"N5-13",1005,"South 80-90",0.25,15.00,0.25,,,,,,,,,,,
"N5-13",1005,"North 45-55",10.00,35.00,3.00,0.10,3.00,0.10,0.25,,,0.10,,,,
"N5-13",1005,"North 80-90",15.00,15.00,12.00,0.10,4.00,0.10,0.25,0.10,,,,,,
,,,,,,,,,,,,,,,,
"N5-15","EC1","South 45-55",2.00,60.00,2.00,,,,,,,,,,,
"N5-15","EC1","South 80-90",3.00,10.00,3.00,,,,,,,,,,,
"N5-15","EC1","North 45-55",30.00,65.00,25.00,,1.50,,,0.25,0.25,,,,,
"N5-15","EC1","North 80-90",35.00,40.00,25.00,0.10,1.00,0.10,,0.60,,,,,,
,,,,,,,,,,,,,,,,
"N5-17",10,"South 45-55",0.10,10.00,0.10,,,,,,,,,,,
"N5-17",10,"South 80-90",0.50,15.00,0.50,,,,,,,,,,,
"N5-17",10,"North 45-55",8.00,15.00,7.00,2.00,,,,,,,,,,
"N5-17",10,"North 80-90",4.00,5.00,4.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N5-19","HE-7","South 45-55",15.00,35.00,15.00,,,,,,,,,,,
"N5-19","HE-7","South 80-90",5.00,25.00,5.00,,0.10,,,,,,,,,
"N5-19","HE-7","North 45-55",5.00,10.00,5.00,,,,,,,,,,,
"N5-19","HE-7","North 80-90",3.00,15.00,2.50,0.10,,,,,,0.10,,,,
,,,,,,,,,,,,,,,,
"N5-26",999,"South 45-55",0.10,35.00,,,,,,,,,,0.10,,
"N5-26",999,"South 80-90",,55.00,,,,,,,,,,,,
"N5-26",999,"North 45-55",0.10,40.00,0.10,,,,,,,,,,,
"N5-26",999,"North 80-90",,35.00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N6-04","H10","South 45-55",0.50,15.00,0.50,0.10,,,,,,,,,,
"N6-04","H10","South 80-90",,20.00,,,,,,,,,,,,
"N6-04","H10","North 45-55",70.00,20.00,50.00,0.10,2.50,0.10,0.10,0.10,,,,,,
"N6-04","H10","North 80-90",35.00,25.00,25.00,0.10,0.10,,,1.00,0.10,,,,,
,,,,,,,,,,,,,,,,
"N6-06",1005,"South 45-55",55.00,70.00,30.00,0.10,,,,1.10,,0.50,,,,
"N6-06",1005,"South 80-90",30.00,60.00,25.00,0.10,0.25,,,,,,,,,
"N6-06",1005,"North 45-55",20.00,65.00,15.00,0.10,,,,,,,,,,
"N6-06",1005,"North 80-90",3.00,35.00,3.50,,,,0.10,,,,,,,
,,,,,,,,,,,,,,,,
"N6-07","HE10","South 45-55",5.00,30.00,6.00,,1.00,,,,,,,,,
"N6-07","HE10","South 80-90",5.00,50.00,5.00,,0.10,,,,,,,,,
"N6-07","HE10","North 45-55",50.00,35.00,30.00,0.10,0.10,0.10,,,0.10,,,,,
"N6-07","HE10","North 80-90",35.00,50.00,30.00,,2.50,,,0.10,,,,,,
,,,,,,,,,,,,,,,,
"N6-09",1008,"South 45-55",10.00,10.00,7.00,,0.10,,,0.25,,,,,,
"N6-09",1008,"South 80-90",0.10,2.00,0.10,,,,,,,,,,,
"N6-09",1008,"North 45-55",3.00,2.00,2.00,,1.00,,,,,,,,,
"N6-09",1008,"North 80-90",2.00,1.00,2.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N6-10",10,"South 45-55",1.00,15.00,1.00,,,,,,,,,,,
"N6-10",10,"South 80-90",2.50,10.00,2.50,,,,,,,,,,,
"N6-10",10,"North 45-55",1.50,1.00,1.50,,,,,,,,,,,
"N6-10",10,"North 80-90",8.00,10.00,9.00,0.10,0.25,,,,,,,,,
,,,,,,,,,,,,,,,,
"N6-12","RM2","South 45-55",1.00,50.00,1.00,,,,,,,,,,,
"N6-12","RM2","South 80-90",0.10,20.00,0.10,,,,,,,,,,,
"N6-12","RM2","North 45-55",60.00,35.00,40.00,2.75,9.00,0.10,0.50,1.75,0.50,,0.25,,,
"N6-12","RM2","North 80-90",3.00,15.00,3.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N6-16","RL6","South 45-55",2.00,35.00,2.00,,,,,,,,,,,
"N6-16","RL6","South 80-90",1.00,25.00,1.00,,,,,,,,,,,
"N6-16","RL6","North 45-55",35.00,75.00,23.00,0.10,10.00,0.10,0.10,0.50,0.10,,1.50,,,
"N6-16","RL6","North 80-90",3.00,45.00,3.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N6-17",996,"South 45-55",0.10,25.00,0.10,,,,,,,,,,,
"N6-17",996,"South 80-90",,2.00,,,,,,,,,,,,
"N6-17",996,"North 45-55",0.25,25.00,0.25,,,,,,,,,,,
"N6-17",996,"North 80-90",,15.00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N6-19","EC1","South 45-55",,15.00,,,,,,,,,,,,
"N6-19","EC1","South 80-90",,25.00,,,,,,,,,,,,
"N6-19","EC1","North 45-55",3.00,25.00,3.00,,,,,,,,,,,
"N6-19","EC1","North 80-90",0.10,10.00,0.10,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N7-03",1008,"South 45-55",5.00,40.00,5.00,,,,,,,,,,,
"N7-03",1008,"South 80-90",10.00,30.00,10.00,,,,,,,0.10,,,,
"N7-03",1008,"North 45-55",25.00,35.00,18.00,,0.10,,,0.10,,,,,,
"N7-03",1008,"North 80-90",35.00,65.00,35.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N7-07","H10","South 45-55",,80.00,,,,,,,,,,,,
"N7-07","H10","South 80-90",1.00,50.00,1.00,,,,,,,,,,,
"N7-07","H10","North 45-55",50.00,60.00,21.00,0.10,0.25,,,,,,,,,
"N7-07","H10","North 80-90",1.00,45.00,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N7-08","WC5","South 45-55",,20.00,,,,,,,,,,,,
"N7-08","WC5","South 80-90",,20.00,,,,,,,,,,,,
"N7-08","WC5","North 45-55",35.00,30.00,30.00,0.10,2.50,0.10,1.00,1.00,,,1.00,,,
"N7-08","WC5","North 80-90",25.00,20.00,18.00,0.10,0.10,,0.25,,,,,,,
,,,,,,,,,,,,,,,,
"N7-10",10,"South 45-55",6.00,30.00,6.00,,,,,,,,,,,
"N7-10",10,"South 80-90",3.00,30.00,3.00,,,,,,,,,,,
"N7-10",10,"North 45-55",20.00,25.00,20.00,0.10,0.50,0.10,0.10,,,,,,,
"N7-10",10,"North 80-90",2.00,15.00,2.00,0.10,0.10,,,,,,,,,
,,,,,,,,,,,,,,,,
"N7-14","HE10","South 45-55",20.00,25.00,20.00,0.25,,,,,,,,,,
"N7-14","HE10","South 80-90",3.50,40.00,3.50,,,,,,,,,,,
"N7-14","HE10","North 45-55",1.50,20.00,1.50,,,,,,,,,,,
"N7-14","HE10","North 80-90",25.00,20.00,20.00,,8.00,0.25,,1.00,0.10,,,,,
,,,,,,,,,,,,,,,,
"N7-19","RM2","South 45-55",5.00,30.00,5.00,,,,,,,0.10,,,,
"N7-19","RM2","South 80-90",2.00,40.00,2.00,,,,,,,,,,,
"N7-19","RM2","North 45-55",2.00,65.00,2.00,,,,,,,,,,,
"N7-19","RM2","North 80-90",1.00,30.00,1.00,,,,,,,,,,,
