"Tree.O","Geno.O","Total.Cover.O","Roughness.O ","X.galericulata.O","C.holocarpa.O","C.subdeflexa.O","R.glauca.O","Lecanora.sp.O","P.melanchra.O","P.adscendens.O","P.undulata.O","X.montana.O","UK.Moss.1.O","UK.Physcioid.O","UK.O"
"N4-24",10,4.625,25.000,4.625,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N5-17",10,3.150,11.250,2.900,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N6-10",10,3.250,9.000,3.500,0.100,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N7-10",10,7.750,25.000,7.750,0.100,0.300,0.100,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N1-36",11,0.175,13.750,0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N2-33",11,12.250,40.000,10.750,0.550,2.575,0.000,0.100,0.250,0.500,0.000,0.000,0.000,0.000,0.000
"N2-35",11,5.625,63.750,4.875,0.200,0.100,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000
"N3-02",11,2.667,34.250,1.833,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N4-30",11,6.088,51.250,5.588,0.000,1.500,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000
"N6-17",996,0.175,16.750,0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N1-10",996,4.500,18.750,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N1-34",996,2.050,16.250,1.800,0.000,0.250,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000
"N2-04",996,8.167,20.000,7.167,0.100,1.125,0.000,0.100,0.100,0.000,0.000,0.000,0.000,0.000,0.000
"N2-10",996,0.175,10.000,0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N2-16",996,11.063,36.250,8.563,0.500,1.500,0.000,0.250,0.100,0.100,0.000,0.500,0.250,0.000,0.000
"N2-29",996,0.833,28.750,0.833,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N3-06",996,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N3-27",996,1.700,9.750,1.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N3-32",996,0.100,28.750,0.100,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000
"N1-28",999,0.417,32.500,0.417,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N4-26",999,6.000,35.000,6.000,0.000,2.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000
"N5-26",999,0.100,41.250,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000
"N5-05",1005,4.750,27.500,5.000,0.300,0.175,0.000,0.100,0.000,0.000,0.375,0.000,0.000,0.000,0.000
"N5-12",1005,22.750,36.250,13.500,0.375,3.000,0.000,0.000,0.750,1.125,0.000,0.500,0.000,0.000,0.000
"N5-13",1005,6.375,27.500,3.875,0.100,3.500,0.100,0.250,0.100,0.000,0.100,0.000,0.000,0.000,0.000
"N6-06",1005,27.000,57.500,18.375,0.100,0.250,0.000,0.100,1.100,0.000,0.500,0.000,0.000,0.000,0.000
"N3-03",1007,0.963,18.750,0.963,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N3-31",1007,0.500,17.500,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N4-18",1007,2.500,20.000,2.500,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N1-31",1008,0.625,13.750,0.250,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000
"N2-25",1008,1.117,15.000,1.450,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000
"N3-17",1008,0.900,22.500,0.650,0.500,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N3-22",1008,2.083,18.750,2.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N4-14",1008,3.063,11.500,2.313,0.000,0.500,0.000,0.100,0.300,0.000,0.000,0.000,0.000,0.000,0.000
"N5-02",1008,10.750,18.750,10.250,0.175,5.033,0.175,1.125,0.000,0.000,0.250,0.000,0.000,0.000,0.000
"N6-09",1008,3.775,3.750,2.775,0.000,0.550,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000
"N7-03",1008,18.750,42.500,17.000,0.000,0.100,0.000,0.000,0.100,0.000,0.100,0.000,0.000,0.000,0.000
"N2-11",1012,2.250,26.250,2.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N2-17",1012,15.000,38.750,10.000,0.100,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N2-20",1012,14.750,25.000,13.000,0.100,4.500,0.100,0.100,0.350,0.000,0.100,0.000,0.000,0.000,0.000
"N2-45",1012,9.813,61.250,8.063,0.100,0.750,0.000,0.000,0.233,0.000,0.000,0.000,0.000,0.000,0.000
"N1-04",1017,15.125,72.500,12.600,0.100,3.625,0.000,0.000,0.425,0.000,0.250,0.000,0.000,0.000,0.000
"N1-08",1017,3.050,42.500,3.300,0.100,0.750,0.100,0.100,0.150,0.000,0.000,0.100,0.000,0.000,0.000
"N1-16",1017,13.000,66.250,11.250,0.425,0.000,0.000,0.100,0.100,0.000,0.000,0.000,0.000,0.000,0.000
"N1-20",1017,25.500,31.250,21.625,0.100,2.500,0.000,0.000,1.125,0.000,0.250,0.000,0.000,0.000,0.000
"N1-24",1017,32.250,35.000,10.500,0.100,0.367,0.000,0.000,0.500,0.750,0.000,0.000,3.000,0.000,0.500
"N2-03",1017,5.313,48.750,4.813,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N2-15",1017,25.750,56.250,22.000,0.150,1.417,0.000,0.200,0.250,0.000,0.000,0.000,0.000,0.250,0.000
"N3-13",1017,13.500,53.750,10.500,0.175,1.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N1-27",1023,0.813,42.500,0.813,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N2-12",1023,5.375,51.250,5.125,0.133,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N2-14",1023,3.250,50.000,3.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N4-20",1023,22.750,25.000,21.000,0.233,5.667,0.100,0.100,0.500,0.375,1.000,0.000,0.250,0.000,0.000
"N1-29","EC1",2.250,48.750,2.250,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000
"N5-15","EC1",17.500,43.750,13.750,0.100,1.250,0.100,0.000,0.425,0.250,0.000,0.000,0.000,0.000,0.000
"N6-19","EC1",1.550,18.750,1.550,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N4-16","H10",16.813,57.500,14.313,0.100,0.000,0.000,0.000,1.000,0.250,0.000,0.000,0.100,0.000,0.000
"N6-04","H10",35.167,20.000,25.167,0.100,1.300,0.100,0.100,0.550,0.100,0.000,0.000,0.000,0.000,0.000
"N7-07","H10",17.333,58.750,7.667,0.100,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N3-09","HE-7",55.333,68.750,53.667,2.000,6.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000
"N4-02","HE-7",4.667,46.250,4.667,0.000,0.000,0.000,0.250,0.100,0.000,0.000,0.000,0.000,0.000,0.000
"N5-19","HE-7",7.000,21.250,6.875,0.100,0.100,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000
"N6-07","HE10",23.750,41.250,17.750,0.100,0.925,0.100,0.000,0.100,0.100,0.000,0.000,0.000,0.000,0.000
"N7-14","HE10",12.500,26.250,11.250,0.250,8.000,0.250,0.000,1.000,0.100,0.000,0.000,0.000,0.000,0.000
"N1-40","RL6",0.238,60.000,0.238,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N2-44","RL6",11.375,81.250,8.375,0.000,0.100,0.100,0.000,0.500,0.250,0.250,0.000,0.000,0.000,0.000
"N6-16","RL6",10.250,45.000,7.250,0.100,10.000,0.100,0.100,0.500,0.100,0.000,1.500,0.000,0.000,0.000
"N4-04","RM2",6.775,26.250,6.275,0.100,1.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N6-12","RM2",16.025,30.000,11.025,2.750,9.000,0.100,0.500,1.750,0.500,0.000,0.250,0.000,0.000,0.000
"N7-19","RM2",2.500,41.250,2.500,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000
"N1-12","T15",0.000,25.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N2-27","T15",1.667,20.000,1.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N2-37","T15",2.275,26.250,2.275,0.250,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N4-17","T15",3.250,12.500,3.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N1-05","T6",23.667,61.250,23.667,0.350,0.100,0.000,0.000,0.600,0.000,0.000,0.000,0.000,0.000,0.000
"N1-07","T6",5.625,60.000,5.625,0.100,0.100,0.000,0.000,1.500,0.000,0.000,0.000,0.000,0.000,0.000
"N1-11","T6",33.367,82.500,35.033,0.100,0.000,0.000,0.000,0.000,0.500,0.250,0.000,0.000,0.000,0.000
"N2-28","WC5",4.500,65.000,3.750,0.000,2.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000
"N2-31","WC5",10.417,40.000,8.083,0.000,10.000,0.000,0.500,0.100,0.250,0.000,0.000,0.000,0.000,0.000
"N4-12","WC5",10.250,31.250,9.250,0.100,2.063,0.000,0.100,1.000,0.000,0.000,0.000,0.000,0.000,0.000
"N7-08","WC5",30.000,22.500,24.000,0.100,1.300,0.100,0.625,1.000,0.000,0.000,1.000,0.000,0.000,0.000
