Tree pairs,Moth,Live/Dead,Litter %,Big rocks %,Small rocks %,Shrubs %,Grass %,Branches %,Light % N,Light % S,Light % average,Acacon,Acasup,Acaobp,Sterile sp,Brown cr,Lobalp,Canros,Calare,Phydub,Rhichr,Xanlin,Xanpli,Xanele,GrBr cr,Gray cr,Synrur,Cerpur/Bryarg
1,1,1,87.41,10.74,0.00,1.85,0.00,0.00,27.20,12.80,20.00,0.00,0.17,0.00,0.06,0.00,0.00,0.35,0.06,0.00,0.56,0.41,0.15,0.00,0.00,0.00,0.00,0.00
1,0,1,86.85,13.15,0.00,0.00,0.00,0.00,8.00,5.00,6.50,0.00,0.19,0.00,0.00,0.00,0.00,0.33,0.02,0.00,2.85,0.96,0.26,0.00,0.00,0.04,1.70,0.00
2,1,1,75.22,13.11,11.67,0.00,0.00,0.00,34.40,38.00,36.20,0.02,0.22,0.06,0.00,0.00,0.02,0.31,0.06,0.19,0.07,0.78,0.00,0.00,0.00,0.00,0.24,0.00
2,0,1,95.26,4.74,0.00,0.00,0.00,0.00,19.00,21.80,20.40,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,1.63,0.00,0.00,0.00,0.00,0.00
3,1,1,89.74,10.26,0.00,0.00,0.00,0.00,31.50,44.60,38.05,0.15,0.11,0.00,0.00,0.00,0.00,0.39,0.07,0.04,0.00,0.02,0.52,0.00,0.00,0.00,0.00,0.00
3,0,1,91.04,8.96,0.00,0.00,0.00,0.00,10.80,12.00,11.40,0.00,0.00,0.02,0.00,0.00,0.00,0.07,0.02,0.00,0.19,0.48,0.56,0.00,0.00,0.00,0.00,0.00
4,1,1,99.07,0.00,0.00,0.93,0.00,0.00,23.10,27.20,25.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,0,1,98.22,1.78,0.00,0.00,0.00,0.00,20.80,16.80,18.80,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.00,0.22,0.19,0.00,0.00,0.00,0.00,0.00,0.00
5,1,1,96.26,1.89,0.00,1.85,0.00,0.00,26.10,27.50,26.80,0.02,0.02,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.07,0.00,0.89,0.00,0.00,0.00,0.00,0.00
5,0,1,80.41,15.33,0.00,0.00,0.00,4.26,10.80,6.00,8.40,0.00,0.09,0.00,0.00,0.00,0.00,0.26,0.00,0.09,0.07,5.57,0.07,0.11,0.04,0.04,0.00,0.00
6,1,1,100.00,0.00,0.00,0.00,0.00,0.00,16.10,43.00,29.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0,1,80.07,19.93,0.00,0.00,0.00,0.00,10.60,19.90,15.25,0.00,0.07,0.00,0.00,0.00,0.00,0.87,0.00,0.07,0.00,5.30,0.30,0.00,0.00,0.00,0.00,0.00
7,1,1,87.78,12.22,0.00,0.00,0.00,0.00,25.40,34.00,29.70,0.00,0.31,0.04,0.00,0.00,0.04,1.09,0.04,0.85,0.41,2.56,0.00,0.24,0.00,0.07,0.00,0.11
7,0,1,82.59,17.41,0.00,0.00,0.00,0.00,6.10,15.70,10.90,0.00,0.06,0.00,0.00,0.00,0.00,0.26,0.00,0.06,0.48,0.19,0.00,0.00,0.00,0.00,0.00,0.00
8,1,1,30.96,43.93,25.11,0.00,0.00,0.00,32.60,25.80,29.20,0.04,1.00,0.15,0.00,0.00,0.00,1.43,0.00,0.41,1.07,5.93,0.00,0.81,0.00,0.00,0.11,0.41
8,0,1,78.26,21.74,0.00,0.00,0.00,0.00,12.10,9.90,11.00,0.02,0.48,0.04,0.00,0.00,0.00,0.02,0.00,0.00,0.04,0.00,0.74,0.00,0.00,0.00,0.00,0.00
9,1,1,75.85,16.56,0.00,7.59,0.00,0.00,7.00,7.80,7.40,0.00,0.09,8.00,0.00,0.00,0.00,0.56,0.00,0.11,0.59,1.19,0.26,0.15,0.00,0.00,0.19,0.00
9,0,1,94.19,5.63,0.00,0.19,0.00,0.00,10.00,2.60,6.30,0.00,0.04,0.00,0.00,0.00,0.00,0.06,0.00,0.04,0.57,1.13,0.00,0.15,0.00,0.00,0.00,0.00
10,1,1,84.07,15.93,0.00,0.00,0.00,0.00,34.90,30.80,32.85,0.11,0.35,0.00,0.00,0.00,0.00,1.37,0.00,0.20,0.56,3.76,0.00,0.02,0.00,0.00,0.04,0.00
10,0,1,56.30,41.85,0.00,1.85,0.00,0.00,11.10,9.80,10.45,0.04,0.15,0.00,0.00,0.00,0.00,0.46,0.00,0.17,0.56,0.48,0.33,0.00,0.00,0.00,0.00,0.00
11,1,1,83.37,15.89,0.00,0.74,0.00,0.00,17.10,16.50,16.80,0.04,0.17,0.00,0.00,0.00,0.00,0.61,0.04,1.19,2.02,0.11,0.93,0.00,0.00,0.00,0.04,0.00
11,0,1,85.93,14.07,0.00,0.00,0.00,0.00,7.60,4.90,6.25,0.02,0.04,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.09,0.04,0.24,0.00,0.00,0.00,0.00,0.00
12,1,1,97.78,1.48,0.00,0.74,0.00,0.00,34.30,19.00,26.65,0.00,0.02,0.02,0.00,0.00,0.00,0.19,0.00,0.07,0.19,0.74,0.00,0.19,0.00,0.00,0.00,0.00
12,0,1,88.89,11.11,0.00,0.00,0.00,0.00,17.60,8.20,12.90,0.00,0.04,0.00,0.00,0.00,0.00,0.06,0.00,0.22,0.00,0.00,0.65,0.00,0.00,0.00,0.00,0.00
13,1,1,100.00,0.00,0.00,0.00,0.00,0.00,27.60,6.60,17.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,0,1,99.37,0.63,0.00,0.00,0.00,0.00,1.80,3.00,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,1,1,43.19,49.52,3.41,3.89,0.00,0.00,34.10,31.00,32.55,0.09,0.57,0.06,0.00,0.00,0.00,1.17,0.00,0.19,0.44,0.74,1.56,0.09,0.00,0.00,0.44,0.00
14,0,1,96.30,0.74,2.96,0.00,0.00,0.00,5.60,25.00,15.30,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,1,1,66.11,18.15,15.74,0.00,0.00,0.00,21.70,17.90,19.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,0,1,72.26,5.33,22.41,0.00,0.00,0.00,5.80,18.00,11.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,1,1,99.81,0.00,0.00,0.19,0.00,0.00,11.00,27.80,19.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,0,1,70.93,28.15,0.93,0.00,0.00,0.00,6.30,9.80,8.05,0.00,0.11,0.07,0.00,0.00,0.00,0.69,0.02,0.56,0.04,0.89,0.17,0.17,0.00,0.00,0.11,0.00
17,1,1,52.59,12.04,35.37,0.00,0.00,0.00,9.00,29.20,19.10,0.26,0.13,0.00,0.00,0.00,0.04,0.39,0.00,0.00,0.19,0.26,0.00,0.00,0.00,0.00,0.00,0.00
17,0,1,95.30,1.19,3.52,0.00,0.00,0.00,3.10,2.20,2.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,1,1,79.81,20.19,0.00,0.00,0.00,0.00,28.00,9.40,18.70,0.02,0.15,0.06,0.00,0.00,0.04,0.41,0.56,0.00,0.17,0.59,0.00,0.04,0.00,0.00,0.00,0.00
18,0,1,98.89,1.11,0.00,0.00,0.00,0.00,13.90,11.60,12.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00
19,1,1,75.19,24.81,0.00,0.00,0.00,0.00,10.80,18.00,14.40,0.00,0.09,0.00,0.00,0.00,0.00,0.31,0.00,0.02,0.61,0.02,0.04,0.00,0.00,0.00,0.00,0.00
19,0,1,96.52,3.48,0.00,0.00,0.00,0.00,11.10,16.00,13.55,0.00,0.02,0.06,0.00,0.00,0.00,0.02,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,1,1,47.48,45.30,7.22,0.00,0.00,0.00,29.80,40.70,35.25,0.17,0.30,0.09,0.00,0.00,0.00,0.54,0.02,0.31,0.09,0.13,0.02,0.00,0.00,0.00,0.00,0.00
20,0,1,97.00,3.00,0.00,0.00,0.00,0.00,4.50,10.00,7.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00
21,1,1,48.93,21.93,27.67,0.00,1.48,0.00,11.10,16.00,13.55,0.00,0.04,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00
21,0,1,97.78,2.22,0.00,0.00,0.00,0.00,16.60,25.00,20.80,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,1,1,94.15,2.33,3.52,0.00,0.00,0.00,23.00,17.70,20.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00
22,0,1,94.85,5.15,0.00,0.00,0.00,0.00,6.80,4.90,5.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,1,1,95.67,2.30,0.00,2.04,0.00,0.00,18.90,22.90,20.90,0.00,0.06,0.02,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00
23,0,1,74.44,7.11,16.04,2.41,0.00,0.00,5.80,7.10,6.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00
24,1,1,56.00,44.00,0.00,0.00,0.00,0.00,25.90,30.00,27.95,0.17,0.54,0.09,0.00,0.00,0.00,1.31,0.09,0.35,0.57,0.93,1.26,0.00,0.00,0.00,0.00,0.00
24,0,1,100.00,0.00,0.00,0.00,0.00,0.00,18.40,10.40,14.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,1,1,82.85,16.04,1.11,0.00,0.00,0.00,20.70,13.80,17.25,0.04,0.04,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.00,0.00
25,0,1,63.52,17.11,19.37,0.00,0.00,0.00,6.20,10.10,8.15,0.04,0.19,0.00,0.00,0.00,0.00,0.13,0.00,0.06,0.07,0.00,0.13,0.00,0.00,0.00,0.00,0.00
26,1,1,48.44,18.04,33.52,0.00,0.00,0.00,26.10,31.40,28.75,0.02,0.06,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00
26,0,1,91.48,8.52,0.00,0.00,0.00,0.00,8.00,10.80,9.40,0.02,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.04,0.04,0.00,0.20,0.00,0.00,0.00,0.00,0.00
27,1,1,33.37,42.59,23.96,0.07,0.00,0.00,42.70,39.80,41.25,0.07,0.33,0.07,0.00,0.00,0.00,1.70,0.04,0.15,2.56,0.28,0.00,0.11,0.00,0.00,0.00,0.00
27,0,1,74.70,25.30,0.00,0.00,0.00,0.00,8.10,9.20,8.65,0.04,0.07,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,1,1,19.04,51.04,30.26,0.00,0.00,0.00,45.10,37.50,41.30,0.19,0.67,0.09,0.00,0.00,0.00,1.11,0.07,0.20,1.56,0.94,0.00,0.22,0.00,0.00,0.09,0.00
28,0,1,96.30,1.30,2.41,0.00,0.00,0.00,13.60,10.60,12.10,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00
29,1,1,40.33,59.67,0.00,0.00,0.00,0.00,29.70,11.40,20.55,0.11,1.04,0.02,0.00,0.00,0.00,1.02,0.00,0.06,0.13,1.59,0.07,0.00,0.00,0.00,0.00,0.00
29,0,1,92.59,7.41,0.00,0.00,0.00,0.00,5.80,1.80,3.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,1,1,77.67,22.33,0.00,0.00,0.00,0.00,45.10,20.50,32.80,0.00,0.13,0.00,0.00,0.00,0.00,0.48,0.00,0.13,0.35,0.19,0.17,0.00,0.00,0.00,0.00,0.00
30,0,1,90.00,8.33,1.67,0.00,0.00,0.00,4.80,1.80,3.30,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00
31,1,0,93.33,6.67,0.00,0.00,0.00,0.00,63.90,42.30,53.10,0.00,0.06,0.00,0.00,0.00,0.00,0.07,0.00,0.15,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,0,0,98.15,0.00,1.85,0.00,0.00,0.00,44.00,63.00,53.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,1,0,14.15,75.78,10.07,0.00,0.00,0.00,47.50,26.00,36.75,0.28,0.35,0.22,0.00,0.00,0.00,4.26,0.31,2.06,0.93,0.00,2.39,0.72,0.00,0.00,0.11,0.00
32,0,0,82.04,17.96,0.00,0.00,0.00,0.00,36.90,37.50,37.20,0.00,0.22,0.04,0.00,0.00,0.00,0.37,0.24,0.04,0.11,0.37,0.26,0.00,0.00,0.00,0.00,0.00
33,1,0,71.67,27.96,0.00,0.37,0.00,0.00,38.20,49.40,43.80,0.02,0.26,0.04,0.13,0.00,0.26,0.87,0.17,0.63,0.63,0.00,1.26,0.00,0.00,0.07,0.11,0.00
33,0,0,100.00,0.00,0.00,0.00,0.00,0.00,41.60,32.10,36.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,1,0,87.22,5.37,0.00,7.41,0.00,0.00,30.80,51.20,41.00,0.00,0.00,0.07,0.00,0.00,0.00,0.41,0.00,0.00,0.24,1.52,0.00,0.00,0.00,0.00,1.11,0.00
34,0,0,87.15,9.15,0.00,3.70,0.00,0.00,66.00,67.00,66.50,0.00,0.15,0.00,0.00,0.00,0.00,1.04,0.00,0.00,0.26,0.00,4.33,0.02,0.00,0.00,0.11,0.04
35,1,0,77.59,17.59,4.81,0.00,0.00,0.00,41.10,59.30,50.20,0.07,0.15,0.00,0.00,0.00,0.09,0.41,0.02,0.17,0.72,0.00,0.00,0.22,0.00,0.00,0.00,0.00
35,0,0,87.04,12.96,0.00,0.00,0.00,0.00,51.60,70.00,60.80,0.02,0.06,0.04,0.00,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
36,1,0,97.44,2.56,0.00,0.00,0.00,0.00,43.50,65.60,54.55,0.00,0.06,0.04,0.00,0.00,0.00,0.07,0.02,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,0,0,0.00,86.04,13.96,0.00,0.00,0.00,62.00,62.00,62.00,0.15,0.43,0.30,0.00,0.19,0.02,1.28,0.37,0.07,0.70,0.43,0.00,0.00,0.00,0.00,0.63,0.00
37,1,0,52.48,42.70,2.59,2.22,0.00,0.00,29.00,60.00,44.50,0.43,0.07,0.07,0.00,0.00,0.00,0.78,0.04,0.00,1.02,0.06,0.11,0.04,0.00,0.00,0.00,0.00
37,0,0,94.78,0.59,4.63,0.00,0.00,0.00,58.20,48.00,53.10,0.00,0.02,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,1,0,65.85,34.15,0.00,0.00,0.00,0.00,35.00,38.80,36.90,0.00,0.04,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00
38,0,0,75.00,25.00,0.00,0.00,0.00,0.00,11.00,19.10,15.05,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00
39,1,0,4.63,8.74,86.59,0.04,0.00,0.00,37.40,68.00,52.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,0,0,65.07,7.15,27.78,0.00,0.00,0.00,49.10,51.60,50.35,0.02,0.20,0.02,0.00,0.00,0.00,0.13,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,1,0,65.00,29.26,0.00,5.74,0.00,0.00,53.00,67.00,60.00,0.04,0.00,0.04,0.00,0.00,0.00,0.22,0.00,0.07,0.13,0.37,0.00,0.00,0.00,0.00,0.00,0.00
40,0,0,100.00,0.00,0.00,0.00,0.00,0.00,31.00,22.90,26.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,1,0,75.22,21.37,1.37,2.04,0.00,0.00,50.00,43.80,46.90,0.02,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.67,0.00,2.54,0.00,0.00,0.00,0.04,0.00
41,0,0,7.30,45.48,47.22,0.00,0.00,0.00,38.60,37.50,38.05,0.02,0.00,0.00,0.00,0.00,0.00,0.31,0.02,0.31,0.43,0.00,0.07,0.00,0.00,0.00,0.00,0.00